`courseid`	`course`	`coursename`	`credit`	`required`	`description`
`051303`	`AFST100`	`Introduction to The Black Experience`	`3`	``	`Understanding the black experience in the African diaspora. A survey of historical and sociocultural ties that link people of African descent worldwide. African roots in world civilizations are discussed. This course is an introductory course for majors and nonmajors.`
`102017`	`AFST100Y`	`Introduction to The Black Experience`	`4`	``	`Understanding the black experience in the African diaspora. A survey of historical and sociocultural ties that link people of African descent worldwide. African roots in world civilizations are discussed. This course is an introductory course for majors and non-majors.`
`052077`	`AFST201`	`Introduction to Methodology and Research in Africana Studies`	`3`	``	`An overview of methodologies of basic research, with examples and issues drawn from the sub-fields of Africana studies. Includes an introduction to selected concepts and use of the computer for statistical analysis.`
`051151`	`AFST205`	`Contemporary Black Popular Culture`	`3`	``	`This course examines the folk idiom and current images of black American culture as reflected in the creative works of contemporary black artists in the areas of film, music, sports and language. Examples are drawn from each of these areas to demonstrate the continuity of these images across artistic domains.`
`050030`	`AFST206`	`Introduction to African-American History: A Survey`	`3`	``	`This course offers a broad survey of the history of the African-American experience from the African background to the present.`
`050027`	`AFST211`	`Introduction to Contemporary Africa`	`3`	``	`A survey of contemporary Africa, its geography, peoples and cultural heritage. Economic, cultural, political and social changes on the continent since World War II, including the struggle for independence and the problems of nation-building.`
`050026`	`AFST212`	`Introduction to African History`	`3`	``	`A survey of ancient and medieval kingdoms of Africa, the spread of Islam in Africa, European slave trade, white settler penetration of southern Africa and Arab penetration of East Africa, the colonial conquest, the 20th century and the emergence of nationalist movements seeking independence.`
`050005`	`AFST213`	`Africa: Culture and Development`	`3`	``	`This course provides a general introduction to Africa. It is designed to survey its peoples, languages, cultures, societies and development. An emphasis is placed on how language and development are interrelated. Modules are offered to students to build on their special interests in the continent.`
`050006`	`AFST215`	`Introduction to African Dance`	`3`	``	`Course offers an understanding of the role of dance in daily life in African societies. Types of African dance are distinguished; basic movements are identified, and relationship of dance to other African arts is shown.`
`050025`	`AFST230`	`Comparative African Religions`	`3`	``	`An introduction to indigenous religions of Africa. Religions in African traditional society, with special reference to the principal elements in the religious system - the Supreme Being, the cosmic gods, the ancestors and lesser spirits. The impact of Islam and Christianity.`
`052078`	`AFST240`	`Topics in African and African-American Studies`	`3`	``	`Examination of current issues highlighting the experiences of blacks in the diaspora. Specific topics are selected by the instructor. This course is repeatable for 12 credits or 4 attempts.`
`051304`	`AFST241`	`The Making of the Caribbean`	`3`	``	`The course presents a historical analysis of the growth and development of African peoples in the Caribbean and Latin America. The nature and character of African cultural survivors and their impact on the Caribbean, slavery, abolition, colonization, efforts toward federation, independence and contemporary issues will be discussed. Recommended Preparation: AFST 100 or permission of instructor.`
`050014`	`AFST245`	`Introduction to Black Music`	`3`	``	`A survey of the form and function of music in African and diasporan cultures. General areas to be explored will be music in ritual and ceremony, as transmitter of history and culture, and as a social and political tool.`
`052079`	`AFST250`	`Directed Individual Study`	`3`	``	`Individual study for an in-depth exploration of a subject. Submission of a written plan and the acceptance of a faculty member for supervision of the study are required. This course is repeatable up to  6 credits.`
`050001`	`AFST255`	`Psychology of the Black Experience in the United States`	`3`	``	`A survey of selected psychological theories and research pertaining to black people. Includes an introduction to black psychology.`
`050023`	`AFST260`	`Black Literature to 1900`	`3`	``	`A critical introduction to representative oral and written literature by primarily black writers in the Americas and in Africa, from the earliest times to the end of the 19th century. Attention will be given to ways in which blacks have reflected their changing roles and fortunes in their literature, as well as to perceptions of blacks by other races and cultures as expressed in literature.`
`050012`	`AFST261`	`Black Literature: Twentieth Century`	`3`	``	`The development of black literature of the Americas and of Africa in the 20th century. Emphasis on such topics as race pride and consciousness, the Harlem Renaissance, Negritude, the new black consciousness, literature of exile, folk themes in modern writings, interconnections between writers from different regions and hemispheres, and cross-currents between black literature and other literatures.`
`052080`	`AFST262W`	`Introductory Writing in Africana Studies`	`3`	``	` `
`052081`	`AFST263`	`Introduction to Black Drama`	`3`	``	`This course is designed to increase the student's understanding and awareness of black theatre. This includes the history and development of black theatre in America, as well as emphasis on Third-World writers.`
`052082`	`AFST264`	`Introductory Writing in Africana Studies`	`3`	``	`An introductory writing course that will teach students to write and speak effectively based on the study and critique of internationally acclaimed works of creative literature from African and the Diaspora. The course permits students to become experts on the content of three short texts written by Nobel Literary Prize winners of African descent. Students will use these three texts as the basis for most of the semester's writing exercises and will work closely with the course professor to learn and practice a series of new, creative, common sense, and systematic approaches to exploring the component parts of the analytical writing experience. Recommended Preparation: ENGL 100 and AFST 100`
`050024`	`AFST271`	`Introduction to Community Involvement`	`3`	``	`A survey of issues and opportunities in the area of community involvement. Introduction to the growth and evolution of black communities, with emphasis on the living conditions of their members and the problems facing community developers. Varieties of black communities are studied.`
`051361`	`AFST275`	`The Criminal Justice Process and Black Americans`	`3`	``	`A study of the organization, role and responsibility of law enforcement agencies, e.g., the police, district attorneys, trial courts, grand juries, and correctional and rehabilitative systems. Interrelationships among these agencies and their relationship with the black community. Students will examine inner-city legal problems as an aspect of social control and explore how selected agencies relate to law enforcement.`
`051306`	`AFST301`	`Research Design and Documentation`	`3`	``	`Discussions, demonstrations and practice culminating in the writing of a proposal for a research project in Africana studies. Includes a description of available bibliographic resources. Recommended Preparation: AFST 201 or permission of instructor.`
`050021`	`AFST312`	`West African History`	`3`	``	`History of West Africa from the period of the medieval empires through the era of the slave trade, the revolutionary 19th century, colonial rule and independence. Recommended Preparation: AFST211 or AFST212 or HIST242  or HIST243, or permission of instructor.`
`050013`	`AFST314`	`Islam in Africa`	`3`	``	`This course is presented to provide the student with an introduction and overview of the history of Islam in Africa. This requires a discussion of Islam itself, its origins, philosophical thought, praxis and expansion. We then will turn to a more detailed examination of the penetration of Islam in Africa, eventually concentrating on its sub-Saharan influences. Recommended Preparation: AFST 211 or AFST212 or HIST242 or HIST243.`
`050020`	`AFST320`	`Contemporary African Politics`	`3`	``	`Nationalism and the struggle for independence. The evolution of post-independence systems and institutions. Examination of problems and trends since independence, including development administration, territorial and ethnic conflicts, nation-building and the role of the military, decolonization and neocolonialism, and Africa in world affairs. Recommended Preparation: AFST 211 or HIST 242. This course is repeatable for credit.`
`051309`	`AFST323`	`Economic Development in Africa`	`3`	``	`The economic structure of traditional African societies. Domestic methods of production, distribution and exchange. From colonial economic exploitation to post-independence underdevelopment. The nature of economic development, planning, regional cooperation, international trade and foreign aid. Recommended Preparation: AFST 211`
`052083`	`AFST340`	`Issues in African and Afro-American Studies`	`3`	``	`This course is repeatable up to 12 credits.`
`051310`	`AFST344`	`Black Folklore`	`3`	``	`A study of black folklore of Africa and the African diaspora and its continuing influence on contemporary society. Folktales from Aesop to the New World and the question of provenance. Folk beliefs and folk practices including ritual, traditional medicine, celebrations, games and (work) songs. Parallels and distinctions between folklore and popular culture. Two or three cultures selected from Africa and the diaspora will be studied each semester offered.`
